# Program:featureCounts v2.0.0; Command:"featureCounts" "-p" "-T" "4" "-s" "2" "-t" "primary_transcript" "-g" "ID" "-a" "B2_sample_longest_full_ORF_with_constructs.gff" "-o" "B2_counts.txt" "B2_aln.bam" "-R" "BAM" 
Geneid	Chr	Start	End	Strand	Length	B2_aln.bam
YAL036C_id004	chrI	74778	76207	-	1430	208
YAL037W_id001	chrI	73453	76400	+	2948	8
YAL038W_id004	chrI	71644	73448	+	1805	7521
YAL039C_id002	chrI	68629	69642	-	1014	22
YAL040C_id003	chrI	65596	67848	-	2253	48
YAL041W_id003	chrI	62773	65463	+	2691	118
YAL042W_id001	chrI	61269	62680	+	1412	239
YAL043C_id001	chrI	58499	61068	-	2570	42
YAL044C_id002	chrI	57756	58476	-	721	436
YAL044W-A_id004	chrI	56973	57958	+	986	89
YAL046C_id001	chrI	56907	57544	-	638	88
YAL047C_id001	chrI	54931	56886	-	1956	18
YAL047W-A_id001	chrI	54209	55063	+	855	5
YAL048C_tx0	chrI	52676	54814	-	2139	0
YAL049C_id001	chrI	51691	54082	-	2392	76
YAL051W_tx0	chrI	48539	51832	+	3294	32
YAL053W_id003	chrI	45728	48310	+	2583	74
YAL054C_tx0	chrI	42756	45047	-	2292	19
YAL055W_id003	chrI	42142	42838	+	697	59
YAL056W_id006	chrI	39234	42040	+	2807	90
YAL058W_id001	chrI	37405	39163	+	1759	49
YAL059W_id002	chrI	36466	37344	+	879	79
YAL060W_id014	chrI	35107	36433	+	1327	370
YAL061W_id003	chrI	33345	35018	+	1674	64
YAL062W_id001	chrI	31527	33039	+	1513	17
YAL063C_tx0	chrI	23875	27993	-	4119	7
YAL063C-A_id001	chrI	22051	23617	-	1567	8
YAL064W_tx0	chrI	21541	21975	+	435	0
YAL066W_id001	chrI	9807	10460	+	654	6
YAL067C_tx0	chrI	7110	9041	-	1932	8
YAL068C_tx0	chrI	1682	2194	-	513	0
YAR002C-A_id004	chrI	153808	154750	-	943	413
YAR002W_id001	chrI	152215	154114	+	1900	115
YAR003W_id001	chrI	154958	156909	+	1952	38
YAR007C_id002	chrI	156681	158698	-	2018	83
YAR008W_id002	chrI	158847	159916	+	1070	40
YAR014C_id002	chrI	166565	169019	-	2455	55
YAR015W_id003	chrI	169272	170638	+	1367	431
YAR018C_id002	chrI	170177	171715	-	1539	34
YAR019C_tx0	chrI	172086	175160	-	3075	17
YAR020C_tx0	chrI	176731	177048	-	318	1
YAR023C_id001	chrI	179245	180697	-	1453	8
YAR027W_id001	chrI	183671	184687	+	1017	117
YAR028W_id001	chrI	184832	185977	+	1146	1
YAR029W_id001	chrI	185009	186754	+	1746	6
YAR031W_tx0	chrI	186811	187857	+	1047	14
YAR033W_id001	chrI	188043	189258	+	1216	17
YAR035W_id001	chrI	190156	192365	+	2210	19
YAR042W_id001	chrI	192583	196349	+	3767	90
YAR050W_tx0	chrI	203378	208141	+	4764	31
YAR053W_id001	chrI	208193	209632	+	1440	2
YAR071W_tx0	chrI	225435	226988	+	1554	21
YBL001C_id001	chrII	236907	237698	-	792	425
YBL002W_id001	chrII	235789	237079	+	1291	652
YBL003C_id004	chrII	234898	235856	-	959	1403
YBL004W_tx0	chrII	227611	235242	+	7632	248
YBL005W_tx0	chrII	217445	220525	+	3081	16
YBL006C_id002	chrII	216354	217163	-	810	46
YBL006W-A_id001	chrII	216559	217416	+	858	0
YBL007C_id001	chrII	212467	216436	-	3970	299
YBL008W_id002	chrII	209587	212279	+	2693	72
YBL009W_id002	chrII	207141	209350	+	2210	30
YBL010C_id001	chrII	205803	207017	-	1215	23
YBL011W_id001	chrII	202814	206022	+	3209	142
YBL013W_tx0	chrII	202031	203386	+	1356	0
YBL014C_id003	chrII	198923	201777	-	2855	73
YBL015W_id001	chrII	193953	195980	+	2028	88
YBL016W_tx0	chrII	192426	193637	+	1212	25
YBL017C_tx0	chrII	186719	191608	-	4890	127
YBL018C_id005	chrII	185668	186507	-	840	35
YBL019W_id001	chrII	184283	186031	+	1749	23
YBL020W_id005	chrII	182322	184205	+	1884	45
YBL021C_id001	chrII	181490	182524	-	1035	42
YBL022C_id001	chrII	177798	181408	-	3611	176
YBL023C_id001	chrII	174746	177643	-	2898	63
YBL024W_id001	chrII	172504	174868	+	2365	177
YBL025W_id002	chrII	171423	172503	+	1081	17
YBL026W_id001	chrII	170581	171530	+	950	137
YBL027W_id005	chrII	168404	169761	+	1358	3247
YBL028C_id001	chrII	167221	167885	-	665	164
YBL029C-A_id001	chrII	164358	166047	-	1690	49
YBL030C_id009	chrII	162718	164145	-	1428	339
YBL031W_id001	chrII	161665	162887	+	1223	8
YBL032W_id003	chrII	160086	161535	+	1450	135
YBL033C_id001	chrII	158483	159721	-	1239	52
YBL034C_tx0	chrII	153723	158414	-	4692	24
YBL035C_id001	chrII	151364	153703	-	2340	3
YBL036C_id001	chrII	150310	152281	-	1972	60
YBL037W_tx0	chrII	147184	150411	+	3228	29
YBL038W_id001	chrII	146128	147061	+	934	42
YBL039C_id001	chrII	143726	145807	-	2082	6
YBL039C-A_id001	chrII	143808	145725	-	1918	0
YBL039W-B_id001	chrII	143099	143749	+	651	43
YBL040C_id002	chrII	142012	143165	-	1154	139
YBL041W_id015	chrII	141010	142040	+	1031	206
YBL042C_id005	chrII	138180	140319	-	2140	166
YBL043W_id003	chrII	136557	137655	+	1099	2
YBL045C_id003	chrII	133932	135777	-	1846	170
YBL046W_id001	chrII	132406	133937	+	1532	18
YBL047C_id001	chrII	127672	132169	-	4498	233
YBL049W_tx0	chrII	126803	127369	+	567	13
YBL050W_id001	chrII	125048	126230	+	1183	139
YBL051C_id004	chrII	122304	124824	-	2521	51
YBL052C_tx0	chrII	119254	121899	-	2646	78
YBL054W_id002	chrII	117412	119359	+	1948	43
YBL055C_id001	chrII	115477	117224	-	1748	45
YBL056W_id003	chrII	113626	115581	+	1956	366
YBL057C_id002	chrII	112277	113442	-	1166	129
YBL058W_id001	chrII	111409	112864	+	1456	144
YBL059C-A_id004	chrII	109917	111201	-	1285	39
YBL060W_id001	chrII	107701	110033	+	2333	7
YBL061C_id001	chrII	105195	107514	-	2320	64
YBL063W_tx0	chrII	101861	105346	+	3486	14
YBL064C_id001	chrII	100306	101420	-	1115	129
YBL066C_tx0	chrII	96544	100140	-	3597	7
YBL067C_tx0	chrII	93514	95907	-	2394	88
YBL068W_id001	chrII	92356	93912	+	1557	50
YBL068W-A_id002	chrII	91120	92228	+	1109	0
YBL069W_id001	chrII	90631	92191	+	1561	0
YBL071C_id001	chrII	89856	90544	-	689	0
YBL071W-A_id001	chrII	89935	90746	+	812	27
YBL072C_id002	chrII	88246	89465	-	1220	2639
YBL074C_id001	chrII	86433	87808	-	1376	0
YBL075C_id001	chrII	84418	86984	-	2567	61
YBL076C_id002	chrII	80947	84307	-	3361	645
YBL078C_id016	chrII	79897	80775	-	879	167
YBL079W_tx0	chrII	75234	79892	+	4659	115
YBL080C_id001	chrII	72946	74748	-	1803	7
YBL081W_id001	chrII	71317	73109	+	1793	94
YBL082C_id003	chrII	69715	71173	-	1459	0
YBL083C_id001	chrII	69698	71093	-	1396	1
YBL084C_tx0	chrII	67044	69470	-	2427	26
YBL085W_id001	chrII	63674	66938	+	3265	46
YBL086C_id001	chrII	61142	62726	-	1585	34
YBL087C_id001	chrII	59593	60845	-	1253	6109
YBL088C_tx0	chrII	50894	59407	-	8514	45
YBL089W_id004	chrII	49558	51234	+	1677	37
YBL090W_id003	chrII	48785	49577	+	793	78
YBL091C_id001	chrII	47010	48636	-	1627	318
YBL091C-A_id001	chrII	46322	47185	-	864	25
YBL092W_id001	chrII	45281	46514	+	1234	3559
YBL093C_id002	chrII	43818	44998	-	1181	92
YBL095W_id003	chrII	43277	44341	+	1065	31
YBL096C_id001	chrII	43132	44042	-	911	0
YBL097W_tx0	chrII	40806	43220	+	2415	31
YBL098W_tx0	chrII	39120	40652	+	1533	0
YBL099W_id002	chrII	36702	38982	+	2281	1103
YBL101C_id001	chrII	24777	28406	-	3630	72
YBL102W_id001	chrII	23879	24938	+	1060	101
YBL103C_id001	chrII	21573	23790	-	2218	47
YBL104C_id001	chrII	18076	21318	-	3243	65
YBL105C_id002	chrII	14104	17962	-	3859	95
YBL106C_tx0	chrII	10722	13904	-	3183	18
YBL107C_id002	chrII	9730	10551	-	822	58
YBL108C-A_tx0	chrII	7480	7758	-	279	0
YBL111C_tx0	chrII	2782	5034	-	2253	1
YBR001C_id003	chrII	238783	241433	-	2651	53
YBR002C_id002	chrII	241456	242584	-	1129	56
YBR003W_id007	chrII	242780	244364	+	1585	68
YBR004C_id001	chrII	244272	246715	-	2444	40
YBR005W_id004	chrII	245842	246920	+	1079	38
YBR006W_id002	chrII	246879	248649	+	1771	46
YBR007C_id001	chrII	248623	251106	-	2484	27
YBR008C_id005	chrII	252403	254835	-	2433	33
YBR009C_id002	chrII	255209	256209	-	1001	1457
YBR010W_id001	chrII	256303	257098	+	796	613
YBR011C_id002	chrII	256892	258006	-	1115	1672
YBR012C_id001	chrII	258941	259571	-	631	19
YBR014C_id008	chrII	266601	267515	-	915	83
YBR015C_id002	chrII	267569	269912	-	2344	343
YBR016W_id001	chrII	269749	270846	+	1098	154
YBR017C_id002	chrII	270760	273772	-	3013	153
YBR018C_tx0	chrII	274302	275552	-	1251	1
YBR019C_tx0	chrII	276128	278377	-	2250	8
YBR020W_tx0	chrII	278996	280732	+	1737	5
YBR021W_id011	chrII	281307	283531	+	2225	36
YBR022W_id002	chrII	283490	284400	+	911	33
YBR023C_id001	chrII	284226	288054	-	3829	179
YBR024W_id004	chrII	289106	290455	+	1350	78
YBR025C_id001	chrII	289931	291896	-	1966	2047
YBR026C_id006	chrII	292747	294102	-	1356	91
YBR028C_id007	chrII	294249	296062	-	1814	74
YBR029C_id003	chrII	296227	297853	-	1627	51
YBR030W_id001	chrII	298020	300071	+	2052	28
YBR031W_id001	chrII	300145	301451	+	1307	2159
YBR034C_id001	chrII	304383	306037	-	1655	179
YBR035C_id001	chrII	306136	307334	-	1199	255
YBR036C_id001	chrII	308745	310355	-	1611	122
YBR037C_id005	chrII	310492	311512	-	1021	62
YBR038W_id003	chrII	311857	314979	+	3123	200
YBR039W_id001	chrII	315484	316949	+	1466	216
YBR040W_tx0	chrII	316943	317989	+	1047	0
YBR041W_id001	chrII	318157	320417	+	2261	93
YBR042C_id002	chrII	320279	321656	-	1378	31
YBR043C_id001	chrII	321721	324094	-	2374	29
YBR044C_id001	chrII	324265	326142	-	1878	33
YBR045C_tx0	chrII	328048	330117	-	2070	3
YBR046C_id001	chrII	330073	331552	-	1480	41
YBR047W_id001	chrII	331288	332494	+	1207	9
YBR048W_id005	chrII	332816	334238	+	1423	2368
YBR049C_id003	chrII	334140	336967	-	2828	79
YBR050C_id001	chrII	337145	338460	-	1316	14
YBR052C_id004	chrII	338532	339423	-	892	163
YBR053C_id001	chrII	339332	340763	-	1432	39
YBR054W_id001	chrII	342781	344584	+	1804	401
YBR055C_id001	chrII	344489	347322	-	2834	41
YBR056W_id008	chrII	347809	349433	+	1625	169
YBR056W-A_id003	chrII	351095	351881	+	787	17
YBR057C_id002	chrII	352055	353405	-	1351	44
YBR058C_id002	chrII	353656	356091	-	2436	8
YBR058C-A_id007	chrII	356079	356625	-	547	112
YBR059C_id004	chrII	356762	360234	-	3473	138
YBR060C_id001	chrII	360589	362638	-	2050	35
YBR061C_id003	chrII	364175	365726	-	1552	25
YBR062C_id003	chrII	365896	366673	-	778	82
YBR063C_id001	chrII	366913	369557	-	2645	16
YBR065C_id001	chrII	367999	369713	-	1715	0
YBR066C_id001	chrII	369932	371004	-	1073	25
YBR067C_id001	chrII	371965	373120	-	1156	1617
YBR068C_id002	chrII	373642	375767	-	2126	511
YBR069C_id006	chrII	376414	378602	-	2189	192
YBR070C_id002	chrII	379101	379980	-	880	52
YBR071W_id001	chrII	380195	381322	+	1128	28
YBR072W_id001	chrII	381848	382838	+	991	72
YBR073W_tx0	chrII	383087	386113	+	3027	112
YBR074W_id001	chrII	386281	389331	+	3051	54
YBR076C-A_id001	chrII	390129	391670	-	1542	31
YBR076W_tx0	chrII	390202	391416	+	1215	0
YBR077C_id001	chrII	391588	392834	-	1247	51
YBR078W_id003	chrII	392947	395384	+	2438	1802
YBR079C_id003	chrII	395231	398302	-	3072	471
YBR080C_id002	chrII	398464	400926	-	2463	127
YBR081C_tx0	chrII	401128	405276	-	4149	110
YBR082C_id002	chrII	406101	407208	-	1108	605
YBR083W_id002	chrII	408947	410708	+	1762	44
YBR084C-A_id004	chrII	414063	415462	-	1400	2692
YBR084W_id002	chrII	410992	414180	+	3189	340
YBR085C-A_id001	chrII	418530	419738	-	1209	465
YBR085W_id001	chrII	415428	417068	+	1641	30
YBR086C_id001	chrII	420076	423360	-	3285	324
YBR087W_id001	chrII	423602	424879	+	1278	78
YBR088C_id002	chrII	424790	425809	-	1020	144
YBR089C-A_id001	chrII	425946	426921	-	976	276
YBR089W_id001	chrII	425028	426037	+	1010	4
YBR091C_id001	chrII	426969	427525	-	557	47
YBR092C_id001	chrII	427647	430844	-	3198	200
YBR093C_id001	chrII	429492	431417	-	1926	0
YBR094W_id001	chrII	431970	434419	+	2450	40
YBR095C_id001	chrII	434314	435772	-	1459	45
YBR096W_id002	chrII	435960	436876	+	917	60
YBR097W_tx0	chrII	436926	441440	+	4515	37
YBR098W_id002	chrII	441495	443742	+	2248	4
YBR101C_id003	chrII	442980	444743	-	1764	79
YBR102C_id003	chrII	444928	447358	-	2431	31
YBR103W_id001	chrII	447496	449378	+	1883	52
YBR104W_id002	chrII	449557	451125	+	1569	82
YBR105C_id002	chrII	450721	452105	-	1385	99
YBR106W_id003	chrII	452652	453825	+	1174	811
YBR107C_id005	chrII	453227	454579	-	1353	16
YBR108W_id001	chrII	454743	457862	+	3120	53
YBR109C_id006	chrII	457579	458407	-	829	370
YBR109W-A_id001	chrII	458498	459155	+	658	0
YBR110W_id001	chrII	458614	460347	+	1734	81
YBR111C_id001	chrII	461107	462146	-	1040	211
YBR111W-A_id005	chrII	462105	462757	+	653	32
YBR112C_id001	chrII	462616	465945	-	3330	130
YBR114W_id002	chrII	467160	469792	+	2633	21
YBR115C_id001	chrII	469611	473945	-	4335	193
YBR117C_tx0	chrII	474267	476462	-	2196	22
YBR118W_id002	chrII	477464	479148	+	1685	20612
YBR119W_id001	chrII	479273	480588	+	1316	38
YBR120C_id001	chrII	480191	481071	-	881	19
YBR121C_id001	chrII	481250	483566	-	2317	8
YBR121C-A_id002	chrII	481250	483355	-	2106	0
YBR122C_id004	chrII	483768	485061	-	1294	170
YBR123C_id002	chrII	484670	486754	-	2085	23
YBR125C_id001	chrII	487061	488576	-	1516	46
YBR126C_id001	chrII	488770	490552	-	1783	596
YBR126W-B_id001	chrII	490913	491294	+	382	191
YBR127C_id002	chrII	491103	492986	-	1884	560
YBR128C_id002	chrII	493007	494168	-	1162	7
YBR129C_id001	chrII	494193	495384	-	1192	31
YBR130C_id002	chrII	495479	496938	-	1460	81
YBR131W_id001	chrII	497133	499503	+	2371	41
YBR132C_id001	chrII	499349	501850	-	2502	23
YBR133C_id001	chrII	501498	504446	-	2949	13
YBR135W_id002	chrII	504751	505580	+	830	22
YBR136W_tx0	chrII	505643	512899	+	7257	39
YBR137W_id004	chrII	512966	513801	+	836	89
YBR139W_id004	chrII	515658	517400	+	1743	86
YBR140C_tx0	chrII	517225	526653	-	9429	142
YBR141C_id003	chrII	526857	528083	-	1227	10
YBR141W-A_id001	chrII	526948	527723	+	776	1
YBR142W_id003	chrII	528234	530843	+	2610	198
YBR143C_id002	chrII	530665	532285	-	1621	655
YBR145W_id001	chrII	533721	535122	+	1402	483
YBR146W_id001	chrII	535197	536563	+	1367	104
YBR147W_id001	chrII	536427	537883	+	1457	149
YBR148W_tx0	chrII	537851	539830	+	1980	13
YBR149W_id004	chrII	539956	541302	+	1347	258
YBR150C_tx0	chrII	541084	544518	-	3435	41
YBR151W_id003	chrII	544879	546206	+	1328	130
YBR152W_tx0	chrII	546351	547376	+	1026	3
YBR153W_id004	chrII	546851	548416	+	1566	40
YBR154C_id002	chrII	548266	549150	-	885	183
YBR155W_id001	chrII	549259	551018	+	1760	78
YBR156C_id001	chrII	550925	553278	-	2354	12
YBR157C_id001	chrII	553414	555160	-	1747	9
YBR158W_id003	chrII	556286	558353	+	2068	185
YBR159W_id001	chrII	558632	559894	+	1263	16
YBR160W_id001	chrII	559931	561577	+	1647	71
YBR161W_id001	chrII	561405	563003	+	1599	19
YBR162C_id004	chrII	562831	564808	-	1978	811
YBR162W-A_id009	chrII	564860	565513	+	654	467
YBR163W_id005	chrII	565611	567538	+	1928	32
YBR164C_id001	chrII	567430	568548	-	1119	249
YBR165W_id001	chrII	568741	569837	+	1097	33
YBR166C_id003	chrII	569732	571279	-	1548	63
YBR167C_id002	chrII	571447	572502	-	1056	36
YBR168W_tx0	chrII	572346	573737	+	1392	20
YBR169C_id002	chrII	573750	576124	-	2375	212
YBR170C_id001	chrII	576057	578112	-	2056	68
YBR171W_id003	chrII	578330	579177	+	848	231
YBR172C_id001	chrII	579012	581501	-	2490	122
YBR173C_id002	chrII	581500	582203	-	704	72
YBR174C_id001	chrII	582174	583425	-	1252	0
YBR175W_id001	chrII	581736	583462	+	1727	39
YBR176W_id002	chrII	583604	584821	+	1218	13
YBR177C_id004	chrII	584563	586208	-	1646	264
YBR179C_id008	chrII	586471	589179	-	2709	32
YBR180W_tx0	chrII	589716	591584	+	1869	1
YBR181C_id002	chrII	591476	592813	-	1338	4170
YBR182C_tx0	chrII	593381	594889	-	1509	1
YBR182C-A_id001	chrII	594946	595849	-	904	0
YBR183W_id003	chrII	596016	597191	+	1176	46
YBR185C_id004	chrII	598938	600017	-	1080	21
YBR186W_tx0	chrII	600528	602485	+	1958	0
YBR187W_id001	chrII	601659	603598	+	1940	180
YBR188C_id001	chrII	602521	604187	-	1667	32
YBR189W_id002	chrII	604482	605915	+	1434	6701
YBR191W_id001	chrII	606248	607191	+	944	0
YBR191W-A_id001	chrII	606300	607280	+	981	58
YBR192W_id003	chrII	607438	609063	+	1626	30
YBR193C_id006	chrII	608609	609938	-	1330	24
YBR194W_id003	chrII	609916	610648	+	733	33
YBR195C_id002	chrII	610470	611950	-	1481	17
YBR196C_id001	chrII	612043	613994	-	1952	1198
YBR196C-A_id001	chrII	613915	614587	-	673	6
YBR197C_id001	chrII	614771	617352	-	2582	15
YBR198C_id001	chrII	616031	618609	-	2579	24
YBR199W_id002	chrII	618810	620607	+	1798	138
YBR200W_id002	chrII	620809	622776	+	1968	65
YBR201C-A_id001	chrII	624305	625418	-	1114	48
YBR201W_id001	chrII	623433	624921	+	1489	16
YBR202W_id002	chrII	625676	628486	+	2811	30
YBR203W_tx0	chrII	629143	632067	+	2925	21
YBR204C_id003	chrII	631999	633449	-	1451	23
YBR205W_tx0	chrII	633597	634961	+	1365	0
YBR206W_id001	chrII	633637	635026	+	1390	14
YBR207W_id002	chrII	635061	636738	+	1678	64
YBR208C_tx0	chrII	636578	642235	-	5658	87
YBR210W_id001	chrII	645330	645990	+	661	10
YBR211C_tx0	chrII	646033	647157	-	1125	1
YBR212W_id001	chrII	647438	650110	+	2673	86
YBR213W_id003	chrII	650250	651388	+	1139	6
YBR214W_id002	chrII	651305	653191	+	1887	159
YBR215W_id001	chrII	653315	655782	+	2468	61
YBR216C_id001	chrII	655282	657647	-	2366	27
YBR217W_id001	chrII	657768	658720	+	953	20
YBR218C_id001	chrII	658591	662399	-	3809	309
YBR220C_id004	chrII	662734	664744	-	2011	34
YBR221C_id001	chrII	664844	666471	-	1628	269
YBR222C_id009	chrII	666606	668403	-	1798	63
YBR223C_id001	chrII	668403	670320	-	1918	40
YBR227C_id001	chrII	673443	675226	-	1784	65
YBR228W_id004	chrII	675313	676380	+	1068	36
YBR229C_id001	chrII	676226	679250	-	3025	35
YBR230C_id003	chrII	679514	680271	-	758	73
YBR230W-A_id002	chrII	679951	680694	+	744	41
YBR231C_id001	chrII	681897	683145	-	1249	47
YBR233W_id003	chrII	683285	684819	+	1535	10
YBR233W-A_id002	chrII	684934	685613	+	680	67
YBR234C_id001	chrII	685281	686654	-	1374	313
YBR235W_id003	chrII	686833	690334	+	3502	53
YBR236C_id002	chrII	690158	691740	-	1583	74
YBR237W_id001	chrII	691916	694608	+	2693	81
YBR238C_id001	chrII	694607	697375	-	2769	5
YBR239C_id001	chrII	698243	700105	-	1863	12
YBR240C_tx0	chrII	700365	701867	-	1503	3
YBR241C_id001	chrII	702432	704174	-	1743	52
YBR242W_id002	chrII	704521	705647	+	1127	64
YBR243C_id001	chrII	704854	706846	-	1993	113
YBR244W_id003	chrII	706948	708102	+	1155	58
YBR245C_tx0	chrII	708025	711564	-	3540	158
YBR246W_id001	chrII	711533	712897	+	1365	90
YBR247C_id005	chrII	712724	714488	-	1765	61
YBR248C_id001	chrII	714623	716570	-	1948	285
YBR249C_id001	chrII	716597	718107	-	1511	727
YBR250W_tx0	chrII	719008	720729	+	1722	3
YBR251W_id001	chrII	721310	722462	+	1153	55
YBR252W_id001	chrII	722593	723353	+	761	161
YBR253W_id006	chrII	723200	723734	+	535	105
YBR254C_id001	chrII	723541	724276	-	736	17
YBR255C-A_id004	chrII	726484	727134	-	651	73
YBR255W_id004	chrII	724420	726687	+	2268	61
YBR256C_id001	chrII	726918	728114	-	1197	116
YBR257W_id003	chrII	728582	729870	+	1289	57
YBR258C_id001	chrII	729380	730237	-	858	19
YBR259W_id002	chrII	730327	732588	+	2262	9
YBR260C_id003	chrII	732507	734680	-	2174	30
YBR261C_id002	chrII	734651	735567	-	917	55
YBR262C_id003	chrII	735592	736084	-	493	91
YBR263W_id001	chrII	736224	737919	+	1696	360
YBR264C_id001	chrII	737728	738811	-	1084	38
YBR265W_id001	chrII	738110	739677	+	1568	119
YBR267W_id001	chrII	739674	741142	+	1469	31
YBR268W_id004	chrII	741269	741807	+	539	89
YBR269C_id002	chrII	741884	742647	-	764	136
YBR271W_id002	chrII	744594	746204	+	1611	67
YBR272C_id001	chrII	746115	747833	-	1719	51
YBR273C_id003	chrII	747952	749402	-	1451	35
YBR274W_id001	chrII	749554	751425	+	1872	47
YBR275C_tx0	chrII	751231	757131	-	5901	44
YBR276C_id001	chrII	757531	760169	-	2639	143
YBR278W_id007	chrII	760269	761096	+	828	26
YBR279W_id006	chrII	761216	762752	+	1537	85
YBR280C_id005	chrII	762601	764700	-	2100	64
YBR281C_id001	chrII	764840	767624	-	2785	32
YBR282W_id002	chrII	767437	768763	+	1327	77
YBR283C_id002	chrII	768700	770605	-	1906	833
YBR285W_id004	chrII	773771	774498	+	728	14
YBR286W_id004	chrII	774672	776455	+	1784	533
YBR287W_id001	chrII	776480	778083	+	1604	201
YBR288C_id002	chrII	777946	779919	-	1974	55
YBR289W_id004	chrII	779653	782436	+	2784	29
YBR290W_id005	chrII	782584	783733	+	1150	50
YBR291C_id002	chrII	783404	784604	-	1201	138
YBR293W_tx0	chrII	786981	788555	+	1575	22
YBR294W_tx0	chrII	789210	791939	+	2730	0
YBR295W_tx0	chrII	792824	796624	+	3801	15
YBR296C_tx0	chrII	796673	798547	-	1875	3
YBR297W_id022	chrII	800470	802159	+	1690	7
YBR298C_id019	chrII	802538	804714	-	2177	46
YBR299W_id002	chrII	805319	807236	+	1918	1
YBR300C_id001	chrII	808317	809395	-	1079	0
YBR301W_tx0	chrII	809032	809544	+	513	0
YBR302C_tx0	chrII	810215	811504	-	1290	80
YCL001W_id004	chrIII	111808	112584	+	777	132
YCL002C_id001	chrIII	110262	111700	-	1439	53
YCL004W_id001	chrIII	108956	110740	+	1785	17
YCL005W_id003	chrIII	107739	108934	+	1196	47
YCL005W-A_id003	chrIII	106941	107540	+	600	337
YCL008C_id001	chrIII	105543	106906	-	1364	14
YCL009C_id001	chrIII	104471	105615	-	1145	401
YCL010C_id004	chrIII	102099	104368	-	2270	0
YCL011C_id002	chrIII	101965	104329	-	2365	135
YCL012C_id001	chrIII	101162	101925	-	764	52
YCL014W_tx0	chrIII	96256	101316	+	5061	53
YCL016C_id001	chrIII	94474	95911	-	1438	9
YCL017C_id002	chrIII	92413	94385	-	1973	80
YCL018W_id001	chrIII	91179	92594	+	1416	0
YCL021W-A_id001	chrIII	83530	84097	+	568	12
YCL024W_tx0	chrIII	79137	82400	+	3264	20
YCL025C_id001	chrIII	75941	78023	-	2083	460
YCL026C-A_id001	chrIII	74492	75412	-	921	1
YCL026C-B_id002	chrIII	73330	74085	-	756	11
YCL027W_tx0	chrIII	71778	73466	+	1689	29
YCL028W_id001	chrIII	70126	71749	+	1624	75
YCL029C_id001	chrIII	68353	70020	-	1668	8
YCL030C_id002	chrIII	65779	68393	-	2615	739
YCL031C_id002	chrIII	64556	65637	-	1082	26
YCL032W_id001	chrIII	63067	64581	+	1515	11
YCL033C_id001	chrIII	62705	63467	-	763	52
YCL034W_id004	chrIII	61608	62842	+	1235	51
YCL035C_id004	chrIII	60650	61288	-	639	420
YCL036W_id001	chrIII	58974	60865	+	1892	19
YCL037C_id001	chrIII	56698	58745	-	2048	64
YCL038C_id002	chrIII	54811	56628	-	1818	30
YCL039W_id003	chrIII	52611	54953	+	2343	45
YCL040W_id001	chrIII	50787	52656	+	1870	341
