# Program:featureCounts v2.0.0; Command:"featureCounts" "-p" "-T" "4" "-s" "2" "-t" "primary_transcript" "-g" "ID" "-a" "A9_sample_longest_full_ORF_with_constructs.gff" "-o" "A9_counts.txt" "A9_aln.bam" "-R" "BAM" 
Geneid	Chr	Start	End	Strand	Length	A9_aln.bam
YBL045C_id003	chrII	133932	135777	-	1846	718
YBL046W_id001	chrII	132406	133937	+	1532	34
YBL047C_id001	chrII	127672	132169	-	4498	895
YBL049W_tx0	chrII	126803	127369	+	567	42
YBL050W_id001	chrII	125048	126230	+	1183	403
YBL051C_id004	chrII	122304	124824	-	2521	161
YBL052C_tx0	chrII	119254	121899	-	2646	185
YBL054W_id002	chrII	117412	119359	+	1948	157
YBL055C_id001	chrII	115477	117224	-	1748	98
YBL056W_id003	chrII	113626	115581	+	1956	1042
YBL057C_id002	chrII	112277	113442	-	1166	268
YBL058W_id001	chrII	111409	112864	+	1456	376
YBL059C-A_id004	chrII	109917	111201	-	1285	142
YBL060W_id001	chrII	107701	110033	+	2333	30
YBL061C_id001	chrII	105195	107514	-	2320	135
YBL063W_tx0	chrII	101861	105346	+	3486	25
YBL064C_id001	chrII	100306	101420	-	1115	392
YBL066C_tx0	chrII	96544	100140	-	3597	27
YBL067C_tx0	chrII	93514	95907	-	2394	171
YBL068W_id001	chrII	92356	93912	+	1557	127
YBL068W-A_id002	chrII	91120	92228	+	1109	1
YBL069W_id001	chrII	90631	92191	+	1561	0
YBL071C_id001	chrII	89856	90544	-	689	3
YBL071W-A_id001	chrII	89935	90746	+	812	92
YBL072C_id002	chrII	88246	89465	-	1220	6270
YBL074C_id001	chrII	86433	87808	-	1376	5
YBL075C_id001	chrII	84418	86984	-	2567	167
YBL076C_id002	chrII	80947	84307	-	3361	1363
YBL078C_id016	chrII	79897	80775	-	879	567
YBL079W_tx0	chrII	75234	79892	+	4659	282
YBL080C_id001	chrII	72946	74748	-	1803	22
YBL081W_id001	chrII	71317	73109	+	1793	259
YBL082C_id003	chrII	69715	71173	-	1459	0
YBL083C_id001	chrII	69698	71093	-	1396	1
YBL084C_tx0	chrII	67044	69470	-	2427	58
YBL085W_id001	chrII	63674	66938	+	3265	100
YBL086C_id001	chrII	61142	62726	-	1585	109
YBL087C_id001	chrII	59593	60845	-	1253	13793
YBL088C_tx0	chrII	50894	59407	-	8514	197
YBL089W_id004	chrII	49558	51234	+	1677	75
YBL090W_id003	chrII	48785	49577	+	793	166
YBL091C_id001	chrII	47010	48636	-	1627	1088
YBL091C-A_id001	chrII	46322	47185	-	864	123
YBL092W_id001	chrII	45281	46514	+	1234	9240
YBL093C_id002	chrII	43818	44998	-	1181	342
YBL095W_id003	chrII	43277	44341	+	1065	84
YBL096C_id001	chrII	43132	44042	-	911	6
YBL097W_tx0	chrII	40806	43220	+	2415	50
YBL098W_tx0	chrII	39120	40652	+	1533	4
YBL099W_id002	chrII	36702	38982	+	2281	3624
YBL101C_id001	chrII	24777	28406	-	3630	260
YBL102W_id001	chrII	23879	24938	+	1060	321
YBL103C_id001	chrII	21573	23790	-	2218	117
YBL104C_id001	chrII	18076	21318	-	3243	121
YBL105C_id002	chrII	14104	17962	-	3859	215
YBL106C_tx0	chrII	10722	13904	-	3183	50
YBL107C_id002	chrII	9730	10551	-	822	135
YBL108C-A_tx0	chrII	7480	7758	-	279	1
YBL111C_tx0	chrII	2782	5034	-	2253	0
YBR001C_id003	chrII	238783	241433	-	2651	150
YBR002C_id002	chrII	241456	242584	-	1129	108
YBR003W_id007	chrII	242780	244364	+	1585	227
YBR004C_id001	chrII	244272	246715	-	2444	111
YBR005W_id004	chrII	245842	246920	+	1079	128
YBR006W_id002	chrII	246879	248649	+	1771	172
YBR007C_id001	chrII	248623	251106	-	2484	69
YBR008C_id005	chrII	252403	254835	-	2433	127
YBR009C_id002	chrII	255209	256209	-	1001	3654
YBR010W_id001	chrII	256303	257098	+	796	1934
YBR011C_id002	chrII	256892	258006	-	1115	5104
YBR012C_id001	chrII	258941	259571	-	631	58
YBR014C_id008	chrII	266601	267515	-	915	169
YBR015C_id002	chrII	267569	269912	-	2344	923
YBR016W_id001	chrII	269749	270846	+	1098	545
YBR017C_id002	chrII	270760	273772	-	3013	310
YBR018C_tx0	chrII	274302	275552	-	1251	5
YBR019C_tx0	chrII	276128	278377	-	2250	12
YBR020W_tx0	chrII	278996	280732	+	1737	35
YBR021W_id011	chrII	281307	283531	+	2225	80
YBR022W_id002	chrII	283490	284400	+	911	84
YBR023C_id001	chrII	284226	288054	-	3829	429
YBR024W_id004	chrII	289106	290455	+	1350	248
YBR025C_id001	chrII	289931	291896	-	1966	6056
YBR026C_id006	chrII	292747	294102	-	1356	308
YBR028C_id007	chrII	294249	296062	-	1814	212
YBR029C_id003	chrII	296227	297853	-	1627	120
YBR030W_id001	chrII	298020	300071	+	2052	47
YBR031W_id001	chrII	300145	301451	+	1307	5663
YBR034C_id001	chrII	304383	306037	-	1655	324
YBR035C_id001	chrII	306136	307334	-	1199	803
YBR036C_id001	chrII	308745	310355	-	1611	476
YBR037C_id005	chrII	310492	311512	-	1021	197
YBR038W_id003	chrII	311857	314979	+	3123	563
YBR039W_id001	chrII	315484	316949	+	1466	585
YBR040W_tx0	chrII	316943	317989	+	1047	4
YBR041W_id001	chrII	318157	320417	+	2261	287
YBR042C_id002	chrII	320279	321656	-	1378	80
YBR043C_id001	chrII	321721	324094	-	2374	95
YBR044C_id001	chrII	324265	326142	-	1878	78
YBR045C_tx0	chrII	328048	330117	-	2070	13
YBR046C_id001	chrII	330073	331552	-	1480	161
YBR047W_id001	chrII	331288	332494	+	1207	25
YBR048W_id005	chrII	332816	334238	+	1423	7078
YBR049C_id003	chrII	334140	336967	-	2828	189
YBR050C_id001	chrII	337145	338460	-	1316	36
YBR052C_id004	chrII	338532	339423	-	892	590
YBR053C_id001	chrII	339332	340763	-	1432	172
YBR054W_id001	chrII	342781	344584	+	1804	1203
YBR055C_id001	chrII	344489	347322	-	2834	138
YBR056W_id008	chrII	347809	349433	+	1625	549
YBR056W-A_id003	chrII	351095	351881	+	787	117
YBR057C_id002	chrII	352055	353405	-	1351	115
YBR058C_id002	chrII	353656	356091	-	2436	19
YBR058C-A_id007	chrII	356079	356625	-	547	281
YBR059C_id004	chrII	356762	360234	-	3473	454
YBR060C_id001	chrII	360589	362638	-	2050	115
YBR061C_id003	chrII	364175	365726	-	1552	62
YBR062C_id003	chrII	365896	366673	-	778	200
YBR063C_id001	chrII	366913	369557	-	2645	46
YBR065C_id001	chrII	367999	369713	-	1715	0
YBR066C_id001	chrII	369932	371004	-	1073	107
YBR067C_id001	chrII	371965	373120	-	1156	6077
YBR068C_id002	chrII	373642	375767	-	2126	1448
YBR069C_id006	chrII	376414	378602	-	2189	421
YBR070C_id002	chrII	379101	379980	-	880	147
YBR071W_id001	chrII	380195	381322	+	1128	135
YBR072W_id001	chrII	381848	382838	+	991	569
YBR073W_tx0	chrII	383087	386113	+	3027	251
YBR074W_id001	chrII	386281	389331	+	3051	175
YBR076C-A_id001	chrII	390129	391670	-	1542	122
YBR076W_tx0	chrII	390202	391416	+	1215	2
YBR077C_id001	chrII	391588	392834	-	1247	147
YBR078W_id003	chrII	392947	395384	+	2438	6315
YBR079C_id003	chrII	395231	398302	-	3072	1044
YBR080C_id002	chrII	398464	400926	-	2463	393
YBR081C_tx0	chrII	401128	405276	-	4149	321
YBR082C_id002	chrII	406101	407208	-	1108	1510
YBR083W_id002	chrII	408947	410708	+	1762	134
YBR084C-A_id004	chrII	414063	415462	-	1400	5274
YBR084W_id002	chrII	410992	414180	+	3189	763
YBR085C-A_id001	chrII	418530	419738	-	1209	1794
YBR085W_id001	chrII	415428	417068	+	1641	92
YBR086C_id001	chrII	420076	423360	-	3285	917
YBR087W_id001	chrII	423602	424879	+	1278	188
YBR088C_id002	chrII	424790	425809	-	1020	349
YBR089C-A_id001	chrII	425946	426921	-	976	729
YBR089W_id001	chrII	425028	426037	+	1010	4
YBR091C_id001	chrII	426969	427525	-	557	97
YBR092C_id001	chrII	427647	430844	-	3198	654
YBR093C_id001	chrII	429492	431417	-	1926	0
YBR094W_id001	chrII	431970	434419	+	2450	89
YBR095C_id001	chrII	434314	435772	-	1459	99
YBR096W_id002	chrII	435960	436876	+	917	228
YBR097W_tx0	chrII	436926	441440	+	4515	111
YBR098W_id002	chrII	441495	443742	+	2248	18
YBR101C_id003	chrII	442980	444743	-	1764	299
YBR102C_id003	chrII	444928	447358	-	2431	79
YBR103W_id001	chrII	447496	449378	+	1883	139
YBR104W_id002	chrII	449557	451125	+	1569	130
YBR105C_id002	chrII	450721	452105	-	1385	387
YBR106W_id003	chrII	452652	453825	+	1174	2271
YBR107C_id005	chrII	453227	454579	-	1353	52
YBR108W_id001	chrII	454743	457862	+	3120	129
YBR109C_id006	chrII	457579	458407	-	829	1024
YBR109W-A_id001	chrII	458498	459155	+	658	0
YBR110W_id001	chrII	458614	460347	+	1734	213
YBR111C_id001	chrII	461107	462146	-	1040	570
YBR111W-A_id005	chrII	462105	462757	+	653	56
YBR112C_id001	chrII	462616	465945	-	3330	355
YBR114W_id002	chrII	467160	469792	+	2633	92
YBR115C_id001	chrII	469611	473945	-	4335	581
YBR117C_tx0	chrII	474267	476462	-	2196	146
YBR118W_id002	chrII	477464	479148	+	1685	57578
YBR119W_id001	chrII	479273	480588	+	1316	108
YBR120C_id001	chrII	480191	481071	-	881	61
YBR121C_id001	chrII	481250	483566	-	2317	6
YBR121C-A_id002	chrII	481250	483355	-	2106	0
YBR122C_id004	chrII	483768	485061	-	1294	412
YBR123C_id002	chrII	484670	486754	-	2085	58
YBR125C_id001	chrII	487061	488576	-	1516	109
YBR126C_id001	chrII	488770	490552	-	1783	2803
YBR126W-B_id001	chrII	490913	491294	+	382	699
YBR127C_id002	chrII	491103	492986	-	1884	1757
YBR128C_id002	chrII	493007	494168	-	1162	31
YBR129C_id001	chrII	494193	495384	-	1192	69
YBR130C_id002	chrII	495479	496938	-	1460	221
YBR131W_id001	chrII	497133	499503	+	2371	90
YBR132C_id001	chrII	499349	501850	-	2502	116
YBR133C_id001	chrII	501498	504446	-	2949	52
YBR135W_id002	chrII	504751	505580	+	830	58
YBR136W_tx0	chrII	505643	512899	+	7257	88
YBR137W_id004	chrII	512966	513801	+	836	294
YBR139W_id004	chrII	515658	517400	+	1743	391
YBR140C_tx0	chrII	517225	526653	-	9429	457
YBR141C_id003	chrII	526857	528083	-	1227	24
YBR141W-A_id001	chrII	526948	527723	+	776	4
YBR142W_id003	chrII	528234	530843	+	2610	414
YBR143C_id002	chrII	530665	532285	-	1621	1308
YBR145W_id001	chrII	533721	535122	+	1402	1856
YBR146W_id001	chrII	535197	536563	+	1367	222
YBR147W_id001	chrII	536427	537883	+	1457	367
YBR148W_tx0	chrII	537851	539830	+	1980	25
YBR149W_id004	chrII	539956	541302	+	1347	880
YBR150C_tx0	chrII	541084	544518	-	3435	111
YBR151W_id003	chrII	544879	546206	+	1328	433
YBR152W_tx0	chrII	546351	547376	+	1026	3
YBR153W_id004	chrII	546851	548416	+	1566	157
YBR154C_id002	chrII	548266	549150	-	885	304
YBR155W_id001	chrII	549259	551018	+	1760	147
YBR156C_id001	chrII	550925	553278	-	2354	45
YBR157C_id001	chrII	553414	555160	-	1747	50
YBR158W_id003	chrII	556286	558353	+	2068	474
YBR159W_id001	chrII	558632	559894	+	1263	73
YBR160W_id001	chrII	559931	561577	+	1647	155
YBR161W_id001	chrII	561405	563003	+	1599	87
YBR162C_id004	chrII	562831	564808	-	1978	2886
YBR162W-A_id009	chrII	564860	565513	+	654	1052
YBR163W_id005	chrII	565611	567538	+	1928	69
YBR164C_id001	chrII	567430	568548	-	1119	573
YBR165W_id001	chrII	568741	569837	+	1097	61
YBR166C_id003	chrII	569732	571279	-	1548	169
YBR167C_id002	chrII	571447	572502	-	1056	79
YBR168W_tx0	chrII	572346	573737	+	1392	81
YBR169C_id002	chrII	573750	576124	-	2375	1029
YBR170C_id001	chrII	576057	578112	-	2056	236
YBR171W_id003	chrII	578330	579177	+	848	582
YBR172C_id001	chrII	579012	581501	-	2490	232
YBR173C_id002	chrII	581500	582203	-	704	217
YBR174C_id001	chrII	582174	583425	-	1252	0
YBR175W_id001	chrII	581736	583462	+	1727	86
YBR176W_id002	chrII	583604	584821	+	1218	31
YBR177C_id004	chrII	584563	586208	-	1646	714
YBR179C_id008	chrII	586471	589179	-	2709	93
YBR180W_tx0	chrII	589716	591584	+	1869	0
YBR181C_id002	chrII	591476	592813	-	1338	10699
YBR182C_tx0	chrII	593381	594889	-	1509	3
YBR182C-A_id001	chrII	594946	595849	-	904	2
YBR183W_id003	chrII	596016	597191	+	1176	184
YBR185C_id004	chrII	598938	600017	-	1080	70
YBR186W_tx0	chrII	600528	602485	+	1958	0
YBR187W_id001	chrII	601659	603598	+	1940	431
YBR188C_id001	chrII	602521	604187	-	1667	77
YBR189W_id002	chrII	604482	605915	+	1434	14073
YBR191W_id001	chrII	606248	607191	+	944	0
YBR191W-A_id001	chrII	606300	607280	+	981	241
YBR192W_id003	chrII	607438	609063	+	1626	84
YBR193C_id006	chrII	608609	609938	-	1330	61
YBR194W_id003	chrII	609916	610648	+	733	62
YBR195C_id002	chrII	610470	611950	-	1481	54
YBR196C_id001	chrII	612043	613994	-	1952	3143
YBR196C-A_id001	chrII	613915	614587	-	673	25
YBR197C_id001	chrII	614771	617352	-	2582	52
YBR198C_id001	chrII	616031	618609	-	2579	38
YBR199W_id002	chrII	618810	620607	+	1798	520
YBR200W_id002	chrII	620809	622776	+	1968	173
YBR201C-A_id001	chrII	624305	625418	-	1114	173
YBR201W_id001	chrII	623433	624921	+	1489	45
YBR202W_id002	chrII	625676	628486	+	2811	114
YBR203W_tx0	chrII	629143	632067	+	2925	66
YBR204C_id003	chrII	631999	633449	-	1451	57
YBR205W_tx0	chrII	633597	634961	+	1365	0
YBR206W_id001	chrII	633637	635026	+	1390	54
YBR207W_id002	chrII	635061	636738	+	1678	128
YBR208C_tx0	chrII	636578	642235	-	5658	382
YBR210W_id001	chrII	645330	645990	+	661	15
YBR211C_tx0	chrII	646033	647157	-	1125	7
YBR212W_id001	chrII	647438	650110	+	2673	281
YBR213W_id003	chrII	650250	651388	+	1139	27
YBR214W_id002	chrII	651305	653191	+	1887	525
YBR215W_id001	chrII	653315	655782	+	2468	147
YBR216C_id001	chrII	655282	657647	-	2366	91
YBR217W_id001	chrII	657768	658720	+	953	30
YBR218C_id001	chrII	658591	662399	-	3809	985
YBR220C_id004	chrII	662734	664744	-	2011	63
YBR221C_id001	chrII	664844	666471	-	1628	644
YBR222C_id009	chrII	666606	668403	-	1798	277
YBR223C_id001	chrII	668403	670320	-	1918	109
YBR227C_id001	chrII	673443	675226	-	1784	128
YBR228W_id004	chrII	675313	676380	+	1068	111
YBR229C_id001	chrII	676226	679250	-	3025	123
YBR230C_id003	chrII	679514	680271	-	758	373
YBR230W-A_id002	chrII	679951	680694	+	744	170
YBR231C_id001	chrII	681897	683145	-	1249	91
YBR233W_id003	chrII	683285	684819	+	1535	50
YBR233W-A_id002	chrII	684934	685613	+	680	186
YBR234C_id001	chrII	685281	686654	-	1374	845
YBR235W_id003	chrII	686833	690334	+	3502	132
YBR236C_id002	chrII	690158	691740	-	1583	178
YBR237W_id001	chrII	691916	694608	+	2693	195
YBR238C_id001	chrII	694607	697375	-	2769	23
YBR239C_id001	chrII	698243	700105	-	1863	29
YBR240C_tx0	chrII	700365	701867	-	1503	13
YBR241C_id001	chrII	702432	704174	-	1743	212
YBR242W_id002	chrII	704521	705647	+	1127	117
YBR243C_id001	chrII	704854	706846	-	1993	350
YBR244W_id003	chrII	706948	708102	+	1155	99
YBR245C_tx0	chrII	708025	711564	-	3540	322
YBR246W_id001	chrII	711533	712897	+	1365	195
YBR247C_id005	chrII	712724	714488	-	1765	140
YBR248C_id001	chrII	714623	716570	-	1948	826
YBR249C_id001	chrII	716597	718107	-	1511	2110
YBR250W_tx0	chrII	719008	720729	+	1722	4
YBR251W_id001	chrII	721310	722462	+	1153	146
YBR252W_id001	chrII	722593	723353	+	761	365
YBR253W_id006	chrII	723200	723734	+	535	220
YBR254C_id001	chrII	723541	724276	-	736	36
YBR255C-A_id004	chrII	726484	727134	-	651	219
YBR255W_id004	chrII	724420	726687	+	2268	192
YBR256C_id001	chrII	726918	728114	-	1197	371
YBR257W_id003	chrII	728582	729870	+	1289	138
YBR258C_id001	chrII	729380	730237	-	858	61
YBR259W_id002	chrII	730327	732588	+	2262	20
YBR260C_id003	chrII	732507	734680	-	2174	131
YBR261C_id002	chrII	734651	735567	-	917	169
YBR262C_id003	chrII	735592	736084	-	493	280
YBR263W_id001	chrII	736224	737919	+	1696	953
YBR264C_id001	chrII	737728	738811	-	1084	111
YBR265W_id001	chrII	738110	739677	+	1568	281
YBR267W_id001	chrII	739674	741142	+	1469	62
YBR268W_id004	chrII	741269	741807	+	539	271
YBR269C_id002	chrII	741884	742647	-	764	564
YBR271W_id002	chrII	744594	746204	+	1611	157
YBR272C_id001	chrII	746115	747833	-	1719	166
YBR273C_id003	chrII	747952	749402	-	1451	102
YBR274W_id001	chrII	749554	751425	+	1872	89
YBR275C_tx0	chrII	751231	757131	-	5901	74
YBR276C_id001	chrII	757531	760169	-	2639	405
YBR278W_id007	chrII	760269	761096	+	828	99
YBR279W_id006	chrII	761216	762752	+	1537	211
YBR280C_id005	chrII	762601	764700	-	2100	278
YBR281C_id001	chrII	764840	767624	-	2785	127
YBR282W_id002	chrII	767437	768763	+	1327	282
YBR283C_id002	chrII	768700	770605	-	1906	2424
YBR285W_id004	chrII	773771	774498	+	728	49
YBR286W_id004	chrII	774672	776455	+	1784	1831
YBR287W_id001	chrII	776480	778083	+	1604	686
YBR288C_id002	chrII	777946	779919	-	1974	96
YBR289W_id004	chrII	779653	782436	+	2784	57
YBR290W_id005	chrII	782584	783733	+	1150	144
YBR291C_id002	chrII	783404	784604	-	1201	448
YBR293W_tx0	chrII	786981	788555	+	1575	82
YBR294W_tx0	chrII	789210	791939	+	2730	4
YBR295W_tx0	chrII	792824	796624	+	3801	60
YBR296C_tx0	chrII	796673	798547	-	1875	1
YBR297W_id022	chrII	800470	802159	+	1690	56
YBR298C_id019	chrII	802538	804714	-	2177	232
YBR299W_id002	chrII	805319	807236	+	1918	11
YBR300C_id001	chrII	808317	809395	-	1079	0
YBR301W_tx0	chrII	809032	809544	+	513	0
YBR302C_tx0	chrII	810215	811504	-	1290	307
YCL001W_id004	chrIII	111808	112584	+	777	345
YCL002C_id001	chrIII	110262	111700	-	1439	143
YCL004W_id001	chrIII	108956	110740	+	1785	51
YCL005W_id003	chrIII	107739	108934	+	1196	159
YCL005W-A_id003	chrIII	106941	107540	+	600	869
YCL008C_id001	chrIII	105543	106906	-	1364	41
YCL009C_id001	chrIII	104471	105615	-	1145	1004
YCL010C_id004	chrIII	102099	104368	-	2270	0
YCL011C_id002	chrIII	101965	104329	-	2365	368
YCL012C_id001	chrIII	101162	101925	-	764	147
YCL014W_tx0	chrIII	96256	101316	+	5061	114
YCL016C_id001	chrIII	94474	95911	-	1438	44
YCL017C_id002	chrIII	92413	94385	-	1973	277
YCL018W_id001	chrIII	91179	92594	+	1416	0
YCL021W-A_id001	chrIII	83530	84097	+	568	52
YCL024W_tx0	chrIII	79137	82400	+	3264	65
YCL025C_id001	chrIII	75941	78023	-	2083	1783
YCL026C-A_id001	chrIII	74492	75412	-	921	3
YCL026C-B_id002	chrIII	73330	74085	-	756	38
YCL027W_tx0	chrIII	71778	73466	+	1689	73
YCL028W_id001	chrIII	70126	71749	+	1624	250
YCL029C_id001	chrIII	68353	70020	-	1668	28
YCL030C_id002	chrIII	65779	68393	-	2615	2295
YCL031C_id002	chrIII	64556	65637	-	1082	86
YCL032W_id001	chrIII	63067	64581	+	1515	55
YCL033C_id001	chrIII	62705	63467	-	763	98
YCL034W_id004	chrIII	61608	62842	+	1235	171
YCL035C_id004	chrIII	60650	61288	-	639	1416
YCL036W_id001	chrIII	58974	60865	+	1892	42
YCL037C_id001	chrIII	56698	58745	-	2048	159
YCL038C_id002	chrIII	54811	56628	-	1818	86
YCL039W_id003	chrIII	52611	54953	+	2343	124
YCL040W_id001	chrIII	50787	52656	+	1870	2195
YCL043C_id001	chrIII	48553	50324	-	1772	3107
YCL044C_id001	chrIII	46937	48447	-	1511	60
